version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 1,"domains: general, science, math, social_studies",,,,,,
carboxylic,science,"9,10,11,12",30,,MC,5,A. The copious benzene rings and potential ____ acid groups in coal suggest that these transformations might not be too difficult. B. A method of hydrogenating the nitrile containing ____ acid acids obtained by above hydrocyanation to produce amine containing ____ acids is also disclosed in this invention.,*carboxylic,exoplanet,thorium,fringe
coli,science,"9,10,11,12",30,,MC,5,"A. Escherichia ____ were transformed with the respective plasmids by chemical transformation. B. The new Escherichia ____ can manufacture the extra amino acid, p-aminophenylalanine, then incorporate it into proteins.",*coli,linnaean,fragmentation,mammalian
diatomic,science,"9,10,11,12",30,,MC,5,A. Our results demonstrate that the ionization rate of ____ molecules would not be largest when the molecular axis is lined up with the field direction. It is relative to the electron density. B. The method of ____ MAS of InS for the determination of sulfur has been studied systematically.,*diatomic,sublevel,kerosene,larval
photosystem,science,"9,10,11,12",30,,MC,5,"A. These trapping kinetics are much slower than observed in ____ I, the other ____ of oxygenic photosynthesis. B. Photosystem II, the central enzyme in photosynthesis, uses solar energy to remove electrons from water.",*photosystem,scarp,angular,habituation
repulsion,science,"9,10,11,12",30,,MC,5,A. I have a ____ for snakes. B. A look of ____ flashed across her face.,fissure,*repulsion,constrict,metabolic
supersaturated,science,"9,10,11,12",30,,MC,5,A. The city has become like one of the ____ solutions which Howard remembers making in the chemistry laboratory at school. B. Now we simultaneously drop into our ____ solution a tiny flat crystal and a tiny chunky crystal.,mirage,*supersaturated,trajectory,cyclical
theorize,science,"9,10,11,12",30,,MC,5,A. Researchers ____ that there was once a common language for all humanity. B. It's easy to ____ about what might have happened.,ketone,tusk,*theorize,cholerae
voltmeter,science,"9,10,11,12",30,,MC,5,"A. Ideally, any alternating ____ should possess infinite impedance and any a.c. meter negligible impedance. B. Strictly speaking, the ____ should give true r.m.s. measurement.",siphon,*voltmeter,blackbody,climatic
adiabatic,science,"9,10,11,12",29,,MC,5,A. These results indicate that the newly developed automatic ____ calorimeter has the ability to imolement the high precision calorimetric measurements. B. Its ____ temperature rise can make materials reach the degree of serious soften and fail.,deplete,*adiabatic,clone,mutant
dipole,science,"9,10,11,12",29,,MC,5,A. In this case a substantial internal magnetic ____ moment is expected. B. The upper limit on the internal magnetic ____ moment is only 0.0000of that of the Earth.,exocytosis,*dipole,amide,subduct
dissipate,science,"9,10,11,12",29,,MC,5,A. In her youth she seemed to ____ almost compulsively. B. One of the ways to ____ perspiration is by convection.,*dissipate,mackerel,hydroelectricity,inert
ingest,science,"9,10,11,12",29,,MC,5,A. They wash with the soap and ____ the drug. B. Rodents ____ little bits of Toxo from cat feces and Toxo goes straight to their heads.,disulfide,*ingest,isotonic,ganglia
mesoderm,science,"9,10,11,12",29,,MC,5,"A. Furthermore, injections into the ____ or ectoderm require going through the endoderm layer. B. Method: Apply evolution and embryology to set ____ theory of chinese channel.",monosaccharide,*mesoderm,auditory,fiberglass
negligible,science,"9,10,11,12",29,,MC,5,A. He is a ____ person in the government. B. There is a ____ difference in meaning between these two words.,rearrangement,*negligible,extraction,gravitropism
neurotransmitt,science,"9,10,11,12",29,,MC,5,"A. It has been linked to atypical levels of dopamine, a ____er. B. Psychosis has been traditionally linked to the ____er dopamine.",kudzu,peptide,pharyngeal,*neurotransmitt
nodule,science,"9,10,11,12",29,,MC,5,A. There was a soft ____ on my vocal cord. B. Each ____ has an opening into the gut through which the eggs reach the lumen.,optic,hypotonic,soluble,*nodule
radiometric,science,"9,10,11,12",29,,MC,5,"A. Accordingly, the present invention relates to an improved ____ assay of dialysates obtained from equilibrium dialysis. B. Both ____ and biostratigraphic data indicate the onset of magmatism in late Mid-Jurassic time.",hadron,*radiometric,follicle,terrarium
schematic,science,"9,10,11,12",29,,MC,5,A. The play has a very ____ plot. B. This is represented in the ____ diagram below.,*schematic,tubules,refrigeration,inhibition
aldehyde,science,"9,10,11,12",28,,MC,5,"A. E-ADM and MMC containing active ____ group were used as experimental drug, while 5-Fu no containing active ____ group as positive control drug. B. Raw materials are n - butyl ____ and form____.",*aldehyde,wobble,cyanide,ectotherm
amniote,science,"9,10,11,12",28,,MC,5,"A. Since ____ intromittent organs are hydrostatic, it follows that the wall of their erectile structures must be reinforced with inextensible fibers to prevent aneurysms. B. Taxonomic congruence versus total evidence, and ____ phylogeny inferred from fossils, molecules, and morphology.",soot,soluble,fizz,*amniote
ecliptic,science,"9,10,11,12",28,,MC,5,"A. You now have the ____ longitude of perigee of the sun for the mean summer solstice of your chosen year (and effectively for the entire year) . B. It is also coupled with ____ constellation, especially attractive.",globally,quantum,euglena,*ecliptic
electronegative,science,"9,10,11,12",28,,MC,5,A. Put least ____ element in the center . 2. B. If come menstruation and is ____ is the specification pregnant certainly?,submicroscopic,steroid,*electronegative,calibrate
hydroxyl,science,"9,10,11,12",28,,MC,5,"A. Objective: To observe the influence of 23- ____ betulinic acid(23-HBA) on the proliferative, migratory ability and morphological change of blood vessel endothelial cell line ECV-304. B. A method for determining ____ value of epoxy - containing polyester, namely acetyl chloride method is introduced.",transgenic,wavefront,unreactive,*hydroxyl
leach,science,"9,10,11,12",28,,MC,5,"A. They do, however, acknowledge that phthalates commonly ____ from PVC plastics. B. Nitrates ____ from the soil into rivers.",cytosol,*leach,differentiation,gastrula
methanol,science,"9,10,11,12",28,,MC,5,A. Steam will break down the ____ and extract hydrogen to be combined with oxygen from the air. B. This enzyme converts ____ into a closely related molecule: formaldehyde.,quark,*methanol,ganglia,chemlab
monosaccharide,science,"9,10,11,12",28,,MC,5,A. Any of a class of ____ sugars containing an aldehyde group. B. The ____ composition of Tremella polysaccharide is determined by a data analysis met.,aqueous,kerosene,photoelectric,*monosaccharide
phylogenetic,science,"9,10,11,12",28,,MC,5,A. A ____ analysis was performed with five corresponding algal and fungal intron nucleotide sequences. B. FIG. A most parsimonious ____ tree of parthenogenesis and cytoplasmic incompatibility microorganisms based on 16S rDNA sequences.,hydroelectricity,corrosion,ammonium,*phylogenetic
planetesimal,science,"9,10,11,12",28,,MC,5,"A. After all, ____ sized portions of the Solar System cannot be considered to be orbiting the Earth, except in the obvious case of the Moon. B. His greatest contribution, however, was his ____ hypothesis of the origin of the planets.",cytosol,*planetesimal,mollusk,protozoa
polysaccharide,science,"9,10,11,12",28,,MC,5,"A. Studies showed that glycyrrhiza ____ mainly consists of rhamnose, glucose, arabinose, galactose , but the conclusions about the main chains are different. B. Abstrast To observe the effects of Ficus carica ____ on cellular immune function in mice.",probeware,*polysaccharide,predatory,hemophilia
radium,science,"9,10,11,12",28,,MC,5,A. He was the discoverer of the element ____. B. ____ can be used to treat cancer.,arn,*radium,radula,dowel
recharge,science,"9,10,11,12",28,,MC,5,"A. He is using your mains electricity to ____ his car battery. B. When the red light comes on, you should ____ the battery so it is ready for the next time.",overproduction,thermodynamic,*recharge,amide
template,science,"9,10,11,12",28,,MC,5,A. Trace around your ____ and transfer the design onto a sheet of card. B. In our DNA we all carry a genetic ____ for the next generation.,hippopotamus,hygiene,*template,seashore
thymine,science,"9,10,11,12",28,,MC,5,A. Thymine or ____ nucleotide concentration was all disqulified. B. Tritium labeled ____ deoxyriboside ( [ H ] TdR ) uptake was measured to observe DNA synthesis.,recombine,*thymine,angular,benzene
transcribe,science,"9,10,11,12",28,,MC,5,A. Clerks ____ everything that is said in court. B. He had been asked to ____ an ancient manuscript.,*transcribe,conglomerate,airtight,ignition
aberration,science,"9,10,11,12",27,,MC,5,"A. Owing to a strange mental ____ he forgot his own name. B. There is much here that is holy, an ____ in the heartland of the real.",recombinant,flightless,*aberration,autosomes
anaerobic,science,"9,10,11,12",27,,MC,5,"A. Some bacteria can only live in ____ conditions. B. Unlike the aerobic reaction that produces farmyard manure, ____ fermentation gives off little heat, so disease organisms thrive.",*anaerobic,triassic,hygrometer,disinfect
chemlab,science,"9,10,11,12",27,,MC,5,ERROR: no sentences found at chemlab,*chemlab,xenon,measles,acetate
citric,science,"9,10,11,12",27,,MC,5,A. This is also known as the ____ acid cycle or Krebs cycle. B. The fact that lemons and limes share ____ acid does not mean they share much else.,blastula,acetic,corrode,*citric
cotyledon,science,"9,10,11,12",27,,MC,5,"A. B, the petiole of the ____ was chilled as described in Fig. legend, but no further treatment was applied. B. C, the petiole of the ____ was chilled as in B, and the ____ was then excised.",*cotyledon,octave,redox,emerald
germination,science,"9,10,11,12",27,,MC,5,A. The poor ____ of your seed could be because the soil was too cold. B. Walls and ceilings in the ____ rooms and steeping areas have been clad with plastic panelling to facilitate cleaning.,gravitropism,*germination,metamorphism,stabilize
metamorphism,science,"9,10,11,12",27,,MC,5,A. Dynamical ____ under greenschist facies is the condition of mineralizing enrichment. B. Granulite- and amphibolite-facies ____ was superimposed during the rapid uplift of high-pressure rocks.,gallbladder,dilution,*metamorphism,siphon
posterior,science,"9,10,11,12",27,,MC,5,"A. If you would kindly move your ____ just a fraction to the right, I might get by. B. Axons from this same area project into the ____ pituitary.",*posterior,catabolism,pandemic,triton
spectrometer,science,"9,10,11,12",27,,MC,5,"A. One additional device is a ____ to study the infrared spectra of strong point sources. B. Then they saw Jones' underground laboratory, the neutron ____ and its data, which were much more extensive than theirs.",halo,mollusk,adenine,*spectrometer
volatile,science,"9,10,11,12",27,,MC,5,A. The international oil markets have been highly ____ since the early 1970s. B. Food and fuel prices are very ____ in a war situation.,eccentricity,acceptor,taxonomic,*volatile
